record_id,vedecky_nazev,cesky_nazev,status_v_CR,cast_rostliny,domena,poddomena,status_znalosti,aplikovatelnost_v_CR,typicke_lokality_v_CR,obdobi_ziskani,fenologicka_faze,zpusob_pripravy_nebo_vyuziti,cilovy_efekt,chutovy_profil,vonny_profil,palivovy_potencial,hlavni_rizika,kontraindikace_interakce,legalita_poznamka_CR,dukaznost_typ,dukaznost_skore,zdroj_id_1,zdroj_id_2,poznamka,record_numeric_id,is_trvanlive_1m_plus,is_jadro_bezne_1m_plus,domena_slug,status_znalosti_slug,aplikovatelnost_slug,dukaznost_rank,ma_druhy_zdroj,obdobi_mesic_od,obdobi_mesic_do,cast_rostliny_skupina,cast_rostliny_je_kombinovana,poddomena_kategorie,poddomena_kategorie_confidence,status_contains_puvodni,status_contains_zdomacnely,status_contains_pestovany,status_contains_zplanujici,status_contains_invazni,status_cetnost
R011,Betula pendula / Betula pubescens,bříza bělokorá / pýřitá,"původní, běžná",list,fytoterapie,nálev,mainstream,vysoká,"paseky, lesní okraje, písčiny, rašelinné okraje",V–VI,mladé až plně vyvinuté listy,Nálev z listu jako tradiční prostředek ke zvýšení tvorby moči při drobných močových obtížích.,Tradiční močopudný/bylinný účel.,lehce travnatý,zelený,neaplikovatelné,Není vhodné při stavech vyžadujících lékaře.,Ne při stavech vyžadujících omezení tekutin; dle EMA věková omezení.,Běžný sběr mimo chráněné režimy.,EMA monografie,A,S07,,"Lze vést odděleně od mízy, protože jde o jinou drogu i účel.",11,False,False,fytoterapie,mainstream,vysoka,5,False,5,6,listova_nadzemni_cast,False,caj_nalev,medium,True,False,False,False,False,bezny
R012,Juniperus communis,jalovec obecný,"původní, lokálně vzácnější",pseudoplod,potrava,koření,mainstream,střední,"suché stráně, pastviny, vřesoviště, světlé lesy; často spíše pěstování nebo nákup",IX–XI,zralé tmavé pseudoplody obvykle druhého roku,"Rozdrcené pseudoplody do zvěřiny, kysaného zelí nebo marinád.","Kořenicí a konzervační efekt, pryskyřičná chuť.",pryskyřičně kořenitý,borovicově pryskyřičný,neaplikovatelné,"Silná chuť, nepřehánět množství.",U citlivých osob může dráždit; při renálních problémech opatrnost.,"V přírodě sběr jen tam, kde je to legální a nepoškozuje populaci; lokálně může být nevhodný.",EMA + etnobotanika,A,S05,S01,U jalovce je důležitá ekologická zdrženlivost.,12,False,False,potrava,mainstream,stredni,5,True,9,11,plodova_cast,False,koreni_dochucovadlo,medium,True,False,False,False,False,vzacnejsi
R013,Juniperus communis,jalovec obecný,"původní, lokálně vzácnější",pseudoplod,pití,destilát / likér,mainstream,střední,"suché stráně, pastviny, vřesoviště; prakticky častěji pěstované či kupované plody",IX–XI,zralé pseudoplody,Historicky a kulinárně důležité aroma pro destiláty a likéry.,Aromatika a chuťový základ nápoje.,"pryskyřičný, hořkosladký",borovicově pryskyřičný,neaplikovatelné,Nezaměňovat s doporučením vysoké konzumace alkoholu.,Při zdravotních omezeních souvisejících s alkoholem nevhodné.,Sbírání ve volné krajině jen opatrně a legálně.,česká etnobotanika + EMA,B,S01,S05,Databázově vhodné jako samostatný nápojový řádek.,13,False,False,piti,mainstream,stredni,4,True,9,11,plodova_cast,False,liker_macerat,medium,True,False,False,False,False,vzacnejsi
R014,Juniperus communis,jalovec obecný,"původní, lokálně vzácnější",větévky s plody,potrava,uchování zvěřiny,téměř zapomenuté,střední,"suché stráně, pastviny, vřesoviště; historicky lovecké prostředí",IX–XI,větévky s aromatickými plody,V české etnobotanice zaznamenáno vkládání plodících větévek k uchovávané zvěřině.,Aroma a částečný konzervační/odpuzující efekt.,pryskyřičně kořenitý,silně pryskyřičný,neaplikovatelné,"Dnes hlavně historický detail, ne moderní hygienický standard.",Nevhodné zaměňovat za bezpečné skladování masa samo o sobě.,Pouze kurátorsko-historická položka.,česká etnobotanika,B,S01,,"Právě typ méně známé položky, kterou jsi chtěl zachytit.",14,False,False,potrava,temer_zapomenute,stredni,4,False,9,11,kombinovana_cast,True,ostatni_specialni,low,True,False,False,False,False,vzacnejsi
R015,Juniperus communis,jalovec obecný,"původní, lokálně vzácnější",pseudoplod,fytoterapie,nálev / tradiční užití,mainstream,střední,"suché stráně, pastviny, vřesoviště; prakticky často kupovaná droga",IX–XI,zralé pseudoplody,Krátkodobé tradiční užití při drobných močových potížích a dyspepsii.,Tradičně zvýšení močení a úleva při nadýmání.,hořce pryskyřičný,pryskyřičný,neaplikovatelné,Nevhodné při závažném onemocnění ledvin; nepoužívat dlouhodobě.,EMA uvádí nevhodnost v těhotenství/kojení a u dětí/adolescentů.,Ve volné přírodě sbírat velmi střídmě a jen legálně.,EMA monografie,A,S05,,Silný příklad nutnosti oddělit kulinární a léčebné použití.,15,False,False,fytoterapie,mainstream,stredni,5,False,9,11,plodova_cast,False,caj_nalev,medium,True,False,False,False,False,vzacnejsi
R016,Quercus robur / Q. petraea,dub letní / dub zimní,"původní, běžné",žalud,pití,kávová náhražka,méně známé,vysoká,"dubiny, meze, remízky, aleje, parky",IX–X,zralé spadlé žaludy,Žaludy louhovat/zbavit hořkosti a pražit jako náhražku kávy.,Nouzový i chuťový nápoj bez kofeinu.,oříškově trpký,"pražený, lehce dřevitý",neaplikovatelné,Bez úpravy vysoká svíravost a horší stravitelnost.,Opatrnost u citlivého trávení.,Sbírat běžně lze; pozor na kontaminaci z parků a silnic.,etnobotanika + historická praxe,B,S01,S10,Dobrá položka mezi potravou a „forgotten beverage“.,16,False,False,piti,mene_zname,vysoka,4,True,9,10,semena_a_orisky,False,kavova_nahrada,medium,True,False,False,False,False,bezny
R017,Quercus robur / Q. petraea / Q. pubescens,dub,původní,kůra,fytoterapie,adstringentní droga,mainstream,vysoká,"dubiny, parky, remízky; v praxi spíše lékárenská droga",III–V nebo lékárenská droga,"mladší kůra, ale v praxi preferovat hotovou drogu",Tradičně při mírném průjmu a k výplachům/oplachům dutiny ústní či kůže.,Stahující účinek.,silně trpký,slabý dřevitý,neaplikovatelné,Třísloviny mohou dráždit při nevhodném použití; nebrat jako univerzální domácí kůru ze stromu.,U přetrvávajících nebo závažných stavů k lékaři.,Nestrhávat kůru z živých stromů; v praxi kupovaná droga.,EMA monografie,A,S10,,"Prakticky velmi užitečné, ale sběrově citlivé.",17,False,False,fytoterapie,mainstream,vysoka,5,False,3,5,drevnata_cast,False,ostatni_specialni,low,True,False,False,False,False,neurceno
R018,Salix spp.,vrba,"původní, běžná",kůra,fytoterapie,odvar / extrakt,mainstream,vysoká,"břehy, lužní porosty, vlhké louky; prakticky často kupovaná droga",III–IV,kůra z mladých větví; prakticky preferovat hotovou drogu,"Tradičně na mírné bolesti kloubů, horečku spojenou s nachlazením a bolest hlavy.",Analgetický a febrifugní tradiční účel.,"silně hořká, svíravá",slabý dřevitý,neaplikovatelné,Není vhodné pro děti a osoby citlivé na salicyláty; možnost GIT potíží.,Interakce jako u salicylátů; opatrnost s antikoagulancii a ulceracemi.,Nepoškozovat dřeviny strháváním kůry; preferovat legální drogu.,EMA monografie,A,S04,,Jeden z nejsilněji doložených stromových léčivých záznamů.,18,False,False,fytoterapie,mainstream,vysoka,5,False,3,4,drevnata_cast,False,odvar,high,True,False,False,False,False,bezny
R019,Urtica dioica,kopřiva dvoudomá,"původní, velmi běžná",mladé listy a vrcholy,potrava,jarní zelenina / polévka / špenát,mainstream,vysoká,"dusíkatá místa, zahrady, komposty, okraje cest, rumiště",III–V,mladé vrcholy před hrubnutím,Krátce spařit nebo vařit; použít jako zelenou jarní zeleninu.,"Výživa, minerální a chuťový jarní zdroj.","zelený, špenátový, lehce minerální",zelený,neaplikovatelné,Starší rostliny hrubnou a mohou obsahovat více nežádoucích látek z kontaminovaných míst.,Vyhnout se sběru z kontaminovaných stanovišť.,Běžný sběr možný.,česká etnobotanika,B,S01,,Dobrá kotva mezi planými jedlými bylinami.,19,False,False,potrava,mainstream,vysoka,4,False,3,5,listova_nadzemni_cast,False,cerstva_potrava,medium,True,False,False,False,False,velmi_bezny
R020,Fagus sylvatica,buk lesní,"původní, běžný",bukvice,potrava,oříšek / olej,méně známé,střední,"bučiny, podhorské a horské listnaté lesy",IX–X,plně zralé bukvice,"Historicky jedeny syrové i sušené; možné i lisování oleje, v praxi spíše malé množství a po úpravě.",Sezónní oříškový zdroj.,"oříškový, lehce máslový",slabý,neaplikovatelné,Ve větším množství syrové nevhodné; lepší tepelná úprava.,Opatrnost u citlivého trávení.,"Sbírat běžně lze, ale ne v chráněných režimech s omezením.",česká etnobotanika,B,S01,,"Typická položka „známé, ale dnes málo prakticky využívané“.",20,False,False,potrava,mene_zname,stredni,4,False,9,10,semena_a_orisky,False,olej,high,True,False,False,False,False,bezny
R021,Rosa canina,růže šípková,"původní, velmi běžná",šípek + semena,potrava a pití,čaj / džem / sirup / víno / náhražka kávy ze semen,méně známé,vysoká,"meze, křoviny, okraje cest, remízky",IX–XI,plně zralé šípky po vybarvení,"Plody na čaje, džemy, sirupy; v etnobotanice i polévky/chutney/vína; semena jako náhražka kávy.",Vitamínový a chuťový zdroj; zajímavý „forgotten“ přesah přes semena.,"kyselkavý, ovocný",ovocný,neaplikovatelné,Dráždivé chloupky uvnitř plodu; nutné dobře čistit.,"Bez zvláštních interakcí obvykle, ale pozor na nadměrnou kyselost u citlivých osob.",Běžný sběr možný.,česká etnobotanika,B,S01,,Semenná kávová náhražka je právě ten méně známý detail.,21,False,False,potrava_a_piti,mene_zname,vysoka,4,False,9,11,kombinovana_cast,True,caj_nalev,medium,True,False,False,False,False,velmi_bezny
R022,Galium odoratum,mařinka vonná,"původní, lokálně běžná",nať,pití,aromatický nápoj / bylinné víno,méně známé,střední,"stinné listnaté lesy, humózní půdy, bučiny",IV–VI,nať před plným odkvětem nebo krátce při něm,V české etnobotanice zaznamenána jako nápojová bylina; v Evropě známá i pro májové víno.,Aromatický nápoj a chuťová specialita.,nasládle bylinný,"kumarinově sladký, seno-vanilka",neaplikovatelné,Ve větším množství může být problematická kvůli kumarinům.,Opatrnost u citlivých osob a při velkém příjmu.,"Sběr jen tam, kde je legální a druh není lokálně ohrožen.",česká etnobotanika + globální analog,C,S01,S11,Dobrá spojka mezi českým a širším evropským repertoárem.,22,False,False,piti,mene_zname,stredni,3,True,4,6,listova_nadzemni_cast,False,vune_a_vykurovani,medium,True,False,False,False,False,lokalne_bezny
R023,Galium odoratum,mařinka vonná,"původní, lokálně běžná",sušená nať,vůně,potpourri / šatník / pokojová vůně,méně známé,střední,"stinné listnaté lesy, humózní půdy, bučiny",IV–VI,nať sušená po sběru,Po usušení zesílí příjemná kumarinová vůně; vhodné do směsí a mezi textilie.,"Provonění prostoru a textilu, historicky i odpuzování hmyzu.",neaplikovatelné,"sladce seno-vanilkový, kumarinový",neaplikovatelné,Příliš velké množství v uzavřeném prostoru může být obtěžující; neplést si s jedlou neškodností ve velkých dávkách.,Opatrnost u citlivých osob.,Sběr lokálně opatrně.,historické aromatické použití,C,S11,S01,Jedna z nejzajímavějších „vonných“ bylin evropského lesa.,23,False,False,vune,mene_zname,stredni,3,True,4,6,listova_nadzemni_cast,False,ostatni_specialni,low,True,False,False,False,False,lokalne_bezny
R024,Thymus vulgaris,tymián obecný,v ČR hlavně pěstovaný,nať,fytoterapie,nálev / bylinný přípravek,mainstream,vysoká,"zahrady, bylinkové záhony; přírodní analogie s mateřídouškou na suchých stanovištích",VI–VIII,kvetoucí nať,Tradičně pro úlevu při produktivním kašli spojeném s nachlazením.,Expektorační tradiční použití.,"kořenitý, teplý","silně bylinný, thymolový",neaplikovatelné,Silice může dráždit ve vysokých dávkách.,Opatrnost u velmi malých dětí a při přecitlivělosti na silice.,Pěstovaný zdroj bez právních problémů.,EMA monografie,A,S06,,Přidáno jako pevný referenční fytoterapeutický bod databáze.,24,False,False,fytoterapie,mainstream,vysoka,5,False,6,8,listova_nadzemni_cast,False,caj_nalev,medium,False,False,True,False,False,neurceno
R025,Achillea millefolium,řebříček obecný,"původní, velmi běžný",nať,fytoterapie,nálev / obklad,mainstream,vysoká,"louky, meze, úhory, okraje cest",VI–IX,kvetoucí nať,"Tradičně při nechutenství, mírných zažívacích potížích, menstruačních křečích; zevně na drobné rány.","Tradiční trávicí, gynekologický a zevní bylinný účel.",hořce bylinný,"bylinný, lehce kořenitý",neaplikovatelné,Možná přecitlivělost u citlivých osob.,Pozor u alergie na hvězdnicovité.,Běžný sběr možný.,EMA monografie,A,S09,,Dobrý univerzální léčivý zástupce běžné české louky.,25,False,False,fytoterapie,mainstream,vysoka,5,False,6,9,listova_nadzemni_cast,False,caj_nalev,medium,True,False,False,False,False,velmi_bezny
R026,Picea abies,smrk ztepilý,"původní/pěstovaný, velmi běžný",pryskyřice,vůně,kadidlo / vykuřování / aromatická pryskyřice,méně známé,vysoká,"horské a podhorské smrčiny, výsadby, zahrady",celoročně,"pryskyřice vytékající po poranění, lépe za tepla",Usušené kousky pryskyřice nebo smolnaté části lze použít jako aromatický dým.,Pryskyřičná vůně prostoru a rituální/atmosférické použití.,neaplikovatelné,"lesně pryskyřičný, terpenický",neaplikovatelné,Kouř může dráždit dýchací cesty; sběr z živých stromů může škodit.,Nevhodné pro astmatiky nebo citlivé na kouř.,Nepoškozovat živé stromy; sbírat jen vytékající/zatvrdlou pryskyřici velmi střídmě.,globální aromatický analog + chemický kontext,C,S14,,"Vhodné zařadit do vůní, nikoli automaticky do léčby.",26,False,False,vune,mene_zname,vysoka,3,False,1,12,drevnata_cast,False,vune_a_vykurovani,medium,True,False,True,False,False,velmi_bezny
R027,Quercus spp.,dub,"původní, běžný",dřevo,palivo,tvrdé palivové dřevo,mainstream,vysoká,"dubiny, remízky, aleje; v praxi štípané palivo",IX–II + sušení,dobře vyschlé dřevo,Husté tvrdé dřevo vhodné pro delší hoření a kvalitní žhavé uhlíky.,Dlouhé sálání a vysoká praktická topná hodnota.,neaplikovatelné,jemně dřevitý při hoření,"vysoký; dlouhé hoření, dobré uhlíky",Mokré dřevo hoří špatně a zanáší spalovací systém.,Nutné dobře vysušit; jako každé dřevo nevhodné spalovat mokré.,Palivo jen z legálního zdroje.,technický zdroj o palivu,B,S12,S13,Tvrdé dřevo je v praxi vhodnější pro dlouhé topení než většina jehličnanů.,27,False,False,palivo,mainstream,vysoka,4,True,9,2,drevnata_cast,False,palivo,medium,True,False,False,False,False,bezny
R028,Fagus sylvatica,buk lesní,"původní, běžný",dřevo,palivo,tvrdé palivové dřevo,mainstream,vysoká,"bučiny, hospodářské lesy; v praxi štípané palivo",IX–II + sušení,dobře vyschlé dřevo,Buk dává vysoký výhřevný potenciál a velmi dobrý plamen.,Silné topné dřevo pro kamna i krby.,neaplikovatelné,čistě dřevitý při hoření,vysoký; velmi dobré topné dřevo,Mokré dřevo ztrácí účinnost.,Nutné sezónování.,Palivo jen z legálního zdroje.,technický zdroj o palivu,B,S13,S12,Patří k nejspolehlivějším evropským palivovým dřevům.,28,False,False,palivo,mainstream,vysoka,4,True,9,2,drevnata_cast,False,palivo,medium,True,False,False,False,False,bezny
R029,Betula pendula,bříza bělokorá,"původní, běžná",dřevo,palivo,rychle chytající palivo,mainstream,vysoká,"paseky, nálety, remízky; v praxi štípané palivo",IX–II + sušení,dobře vyschlé dřevo,Dobře se rozhoří a poskytuje slušný tepelný výkon; užitečné i na rozpal.,"Rychlé až střední topení, dobrý start ohně.",neaplikovatelné,příjemně dřevitý,střední až vyšší; snadné rozhoření,Kůra je velmi hořlavá; při špatném skladování rychle nasává vlhkost.,Jako vždy sušit a nepřetápět sazí z mokrého dřeva.,Palivo jen z legálního zdroje.,technický zdroj o palivu,B,S13,S12,Prakticky užitečné i jako mezistupeň mezi podpalem a tvrdým dřevem.,29,False,False,palivo,mainstream,vysoka,4,True,9,2,drevnata_cast,False,ostatni_specialni,low,True,False,False,False,False,bezny
R030,Pinus sylvestris,borovice lesní,"původní, běžná",dřevo,palivo,rychlé teplo / podpal,mainstream,vysoká,"borové lesy, písčiny, hospodářské porosty",IX–II + sušení,dobře vyschlé smolnaté dřevo,"Jehličnaté dřevo chytá rychleji, ale může více kouřit a jiskřit; hodí se pro rychlý rozběh ohně.",Rychlé teplo a rozpal.,neaplikovatelné,pryskyřičně dřevitý,"střední; rychlé rozhoření, více kouře/pryskyřic",Vyšší riziko jisker a usazenin při špatném spalování.,Nevhodné dlouhodobě spalovat mokré kvůli usazeninám.,Palivo jen z legálního zdroje.,technický zdroj o palivu,B,S12,S13,"Softwood je praktické na rozpal, méně ideální pro dlouhé klidné sálání.",30,False,False,palivo,mainstream,vysoka,4,True,9,2,drevnata_cast,False,palivo,medium,True,False,False,False,False,bezny
R031,Picea abies,smrk ztepilý,"původní/pěstovaný, velmi běžný",dřevo,palivo,rychlé teplo / podpal,mainstream,vysoká,"smrčiny, výsadby, hospodářské porosty",IX–II + sušení,dobře vyschlé dřevo,"Smrk se dobře hodí pro rychlé rozhoření, ale pro dlouhou výdrž je slabší než hustá tvrdá dřeva.",Rychlý start ohně a krátkodobé teplo.,neaplikovatelné,pryskyřičný,"nižší až střední; rychlé rozhoření, kratší výdrž",Více pryskyřic a při špatném spalování vyšší riziko usazenin.,Důsledně sušit a nepoužívat mokré.,Palivo jen z legálního zdroje.,technický zdroj o palivu,B,S12,S13,Praktická položka pro srovnání s dubem a bukem.,31,False,False,palivo,mainstream,vysoka,4,True,9,2,drevnata_cast,False,palivo,medium,True,False,True,False,False,velmi_bezny
R032,Acer platanoides / Acer pseudoplatanus / Acer campestre,javor mléč / javor klen / javor babyka,"původní, běžné",míza,pití,čerstvá jarní míza,globální analog,střední,"listnaté lesy, parky, meze, aleje, starší stromy",III–IV,jarní tok mízy před plným olistěním,Jen šetrný odběr malého množství z vlastních stromů; pít čerstvé a rychle spotřebovat.,Sezónní minerální nápoj; severovýchodoevropský analog použitelný i v ČR.,"jemně sladká, vodnatá",slabě dřevitá,neaplikovatelné,Nešetrné navrtávání může strom poškodit; míza se rychle kazí.,Nevhodné sbírat destruktivně; důraz na hygienu a minimální zásah.,Preferovat vlastní pozemek nebo pěstované stromy; ve volné krajině jen maximálně šetrně.,etnobotanika severní a východní Evropy,D,S02,,"V ČR spíše obskurnější než březová míza, ale biologicky plausibilní a dobře přenositelná.",32,False,False,piti,globalni_analog,stredni,2,False,3,4,miza,False,ostatni_specialni,low,True,False,False,False,False,bezny
R033,Acer platanoides / Acer pseudoplatanus / Acer campestre,javor mléč / javor klen / javor babyka,"původní, běžné",míza,pití,fermentovaný nápoj / sirup / ocet,globální analog,střední,"listnaté lesy, parky, meze, aleje",III–IV,čerstvě získaná míza,Mízu lze v globálních tradicích fermentovat nebo odpařovat; v českém kontextu spíše experimentální domácí použití.,"Trvanlivější jarní nápoj nebo sladidlo s regionálně vzdáleným, ale přenositelným modelem.",jemně sladká až lehce kyselá,slabý,neaplikovatelné,Nízká výtěžnost; snadné mikrobiální zkažení při špatné hygieně.,U fermentace nutná čistota; u sirupu vysoká pracnost a spotřeba energie.,"Jde o globální analog, ne o pevné české mainstreamové použití.",etnobotanika severní a východní Evropy,D,S02,,"Prakticky zajímavé pro databázi právě jako přenositelný, ale téměř zapomenutý směr.",33,False,False,piti,globalni_analog,stredni,2,False,3,4,miza,False,sirup_koncentrat,medium,True,False,False,False,False,bezny
